"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"WLEINFoL";"WLEINFmL";"WLMIToL";"WLMITmL";"WLGUToL";"WLGUTmL";"WLNZORD"
"201213";"01011101";"01";"01";"11";"01";"1";0;0;0;3;2109;948;0
"201213";"01011102";"01";"01";"11";"02";"1";16;44;0;0;22;93;9
"201213";"01011103";"01";"01";"11";"03";"1";287;454;2223;1565;302;49;0
"201213";"01011104";"01";"01";"11";"04";"1";1454;809;1474;422;0;0;14
"201213";"01011105";"01";"01";"11";"05";"1";0;0;29;0;986;83;0
"201213";"01011201";"01";"01";"12";"01";"1";0;0;115;309;1050;597;0
"201213";"01011202";"01";"01";"12";"02";"1";0;0;55;127;194;126;0
"201213";"01011203";"01";"01";"12";"03";"1";0;0;0;0;449;441;0
"201213";"01011204";"01";"01";"12";"04";"1";0;0;1071;3411;1237;240;0
"201213";"01011301";"01";"01";"13";"01";"1";2104;964;180;301;794;798;0
"201213";"01011302";"01";"01";"13";"02";"1";1706;2217;5006;1733;626;830;0
"201213";"01011303";"01";"01";"13";"03";"1";504;1087;2066;1845;953;1904;0
"201213";"01011304";"01";"01";"13";"04";"1";0;0;3631;4667;0;0;0
"201213";"01011305";"01";"01";"13";"05";"1";0;124;3241;3328;0;0;0
"201213";"01011306";"01";"01";"13";"06";"1";981;746;4685;1718;0;0;0
"201213";"01011401";"01";"01";"14";"01";"1";4366;4825;5351;243;0;0;6
"201213";"01011402";"01";"01";"14";"02";"1";2786;2250;6321;986;0;0;0
"201213";"01022101";"01";"02";"21";"01";"1";969;2370;0;0;0;0;0
"201213";"01022102";"01";"02";"21";"02";"1";3447;2628;0;0;0;0;0
"201213";"01022103";"01";"02";"21";"03";"1";9;217;0;6;0;0;0
"201213";"01022104";"01";"02";"21";"04";"1";13172;4231;0;0;0;0;0
"201213";"01022105";"01";"02";"21";"05";"1";1833;3147;0;0;0;0;0
"201213";"01022106";"01";"02";"21";"06";"1";80;394;4964;1940;3833;306;0
"201213";"01022201";"01";"02";"22";"01";"1";7422;2922;0;0;0;0;0
"201213";"01022202";"01";"02";"22";"02";"1";1093;397;0;0;0;0;0
"201213";"01022203";"01";"02";"22";"03";"1";2026;772;2698;1053;0;0;0
"201213";"01022204";"01";"02";"22";"04";"1";0;426;3550;1708;3;9;0
"201213";"01022205";"01";"02";"22";"05";"1";2276;849;0;0;0;0;0
"201213";"01022206";"01";"02";"22";"06";"1";0;0;1066;2019;0;0;0
