ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;WLEINFoL;WLEINFmL;WLMIToL;WLMITmL;WLGUToL;WLGUTmL;WLNZORD
202012;01011101;01;01;11;01;1;0;0;1133;932;1151;185;18
202012;01011102;01;01;11;02;1;0;11;6;154;21;0;0
202012;01011103;01;01;11;03;1;0;315;3463;1433;0;0;0
202012;01011104;01;01;11;04;1;70;312;3165;1089;0;0;0
202012;01011105;01;01;11;05;1;0;0;0;0;1180;419;0
202012;01011201;01;01;12;01;1;0;0;24;0;1299;972;278
202012;01011202;01;01;12;02;1;0;0;0;0;356;290;0
202012;01011203;01;01;12;03;1;0;0;0;0;539;618;0
202012;01011204;01;01;12;04;1;0;0;1348;185;3157;3622;0
202012;01011301;01;01;13;01;1;21;0;3410;1473;931;1123;9
202012;01011302;01;01;13;02;1;0;0;1309;2268;6010;2765;0
202012;01011303;01;01;13;03;1;0;0;2180;3265;2331;2127;0
202012;01011304;01;01;13;04;1;0;0;3629;5263;0;0;121
202012;01011305;01;01;13;05;1;0;0;1902;2333;2897;2002;288
202012;01011306;01;01;13;06;1;0;0;6438;4300;41;0;0
202012;01011401;01;01;14;01;1;0;0;3814;4873;7781;1303;0
202012;01011402;01;01;14;02;1;0;0;1553;2297;8426;1167;0
202012;01022101;01;02;21;01;1;1035;2415;0;0;0;0;0
202012;01022102;01;02;21;02;1;3714;3152;0;0;0;0;0
202012;01022103;01;02;21;03;1;19;256;0;0;0;0;0
202012;01022104;01;02;21;04;1;14126;4359;0;0;0;0;51
202012;01022105;01;02;21;05;1;1983;3252;0;0;0;0;0
202012;01022106;01;02;21;06;1;0;184;6176;2033;2763;168;9
202012;01022201;01;02;22;01;1;6767;4055;0;0;0;0;3
202012;01022202;01;02;22;02;1;306;2543;489;176;0;0;1664
202012;01022203;01;02;22;03;1;4762;2214;0;0;0;0;0
202012;01022204;01;02;22;04;1;21;10;4044;1860;0;0;0
202012;01022205;01;02;22;05;1;2193;1087;0;0;0;0;0
202012;01022206;01;02;22;06;1;0;0;1209;1923;0;0;0
202012;01022207;01;02;22;07;1;0;0;1367;941;1793;1706;0
202012;01033101;01;03;31;01;1;18894;7447;0;0;0;0;40
202012;01033102;01;03;31;02;1;7847;3812;0;0;0;0;6
202012;01033201;01;03;32;01;1;9415;4670;0;0;0;0;108
202012;01033202;01;03;32;02;1;7672;2771;0;0;0;0;0
202012;01033203;01;03;32;03;1;7757;6800;0;0;0;0;100
202012;01044101;01;04;41;01;1;12697;7832;0;0;0;0;0
202012;01044102;01;04;41;02;1;7149;6026;2289;1042;0;0;0
202012;01044103;01;04;41;03;1;6345;2298;0;0;0;0;0
202012;01044201;01;04;42;01;1;12883;10713;0;0;0;0;89
202012;01044202;01;04;42;02;1;14563;2058;0;0;0;0;27
202012;01044203;01;04;42;03;1;11790;3997;0;0;0;0;0
202012;02010101;02;01;01;01;1;3404;2600;277;0;0;0;0
202012;02010102;02;01;01;02;1;9049;4980;0;0;0;0;0
