"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"WLEINFoL";"WLEINFmL";"WLMIToL";"WLMITmL";"WLGUToL";"WLGUTmL";"WLNZORD"
"201212";"01011101";"01";"01";"11";"01";"1";0;0;0;0;1916;1014;0
"201212";"01011102";"01";"01";"11";"02";"1";15;34;0;0;28;89;14
"201212";"01011103";"01";"01";"11";"03";"1";277;416;1890;1872;169;194;0
"201212";"01011104";"01";"01";"11";"04";"1";971;1130;1159;630;0;0;23
"201212";"01011105";"01";"01";"11";"05";"1";0;0;35;0;812;149;0
"201212";"01011201";"01";"01";"12";"01";"1";0;0;95;322;930;731;0
"201212";"01011202";"01";"01";"12";"02";"1";0;0;3;186;115;168;0
"201212";"01011203";"01";"01";"12";"03";"1";0;0;0;0;416;438;0
"201212";"01011204";"01";"01";"12";"04";"1";0;0;1005;3343;1205;269;0
"201212";"01011301";"01";"01";"13";"01";"1";2020;851;123;304;749;855;0
"201212";"01011302";"01";"01";"13";"02";"1";1500;2376;4539;2230;603;827;3
"201212";"01011303";"01";"01";"13";"03";"1";497;1132;1793;1818;1131;1770;0
"201212";"01011304";"01";"01";"13";"04";"1";0;0;3363;4916;0;0;0
"201212";"01011305";"01";"01";"13";"05";"1";0;77;3307;2941;0;0;38
"201212";"01011306";"01";"01";"13";"06";"1";404;1351;4632;1461;0;0;9
"201212";"01011401";"01";"01";"14";"01";"1";2908;5468;5160;453;0;0;37
"201212";"01011402";"01";"01";"14";"02";"1";5399;3121;2577;928;0;0;0
"201212";"01022101";"01";"02";"21";"01";"1";777;2365;0;0;0;0;0
"201212";"01022102";"01";"02";"21";"02";"1";3212;2637;0;0;0;0;0
"201212";"01022103";"01";"02";"21";"03";"1";0;214;0;6;0;0;0
"201212";"01022104";"01";"02";"21";"04";"1";12763;4326;0;0;0;0;0
"201212";"01022105";"01";"02";"21";"05";"1";1808;3079;0;0;0;0;0
"201212";"01022106";"01";"02";"21";"06";"1";87;381;4812;1709;3641;329;0
"201212";"01022201";"01";"02";"22";"01";"1";6013;3984;0;0;0;0;3
"201212";"01022202";"01";"02";"22";"02";"1";1117;375;0;0;0;0;0
"201212";"01022203";"01";"02";"22";"03";"1";1900;900;2497;1454;0;0;0
"201212";"01022204";"01";"02";"22";"04";"1";0;386;3072;2207;3;9;0
"201212";"01022205";"01";"02";"22";"05";"1";2243;820;0;0;0;0;0
"201212";"01022206";"01";"02";"22";"06";"1";0;0;883;2133;0;0;0
"201212";"01022207";"01";"02";"22";"07";"1";0;0;429;1363;1279;2295;0
"201212";"01033101";"01";"03";"31";"01";"1";17773;6859;0;0;0;0;0
"201212";"01033102";"01";"03";"31";"02";"1";8406;2624;0;0;0;0;0
"201212";"01033201";"01";"03";"32";"01";"1";10270;2508;0;0;0;0;0
"201212";"01033202";"01";"03";"32";"02";"1";7673;1938;0;0;0;0;0
"201212";"01033203";"01";"03";"32";"03";"1";7511;5668;0;0;0;0;0
"201212";"01044101";"01";"04";"41";"01";"1";11325;7798;41;46;0;0;0
"201212";"01044102";"01";"04";"41";"02";"1";5021;5229;3392;1427;0;0;0
"201212";"01044103";"01";"04";"41";"03";"1";5563;2163;0;0;0;0;12
"201212";"01044201";"01";"04";"42";"01";"1";12305;9919;0;0;0;0;0
"201212";"01044202";"01";"04";"42";"02";"1";13981;1884;0;0;0;0;29
"201212";"01044203";"01";"04";"42";"03";"1";11532;3832;0;0;0;0;0
"201212";"02010101";"02";"01";"01";"01";"1";2262;2126;1330;307;0;0;0
"201212";"02010102";"02";"01";"01";"02";"1";2948;2014;5241;2628;0;0;0
"201212";"02010103";"02";"01";"01";"03";"1";10502;4606;243;0;0;0;0
"201212";"02010104";"02";"01";"01";"04";"1";2311;2182;538;0;0;0;0
"201212";"02020201";"02";"02";"02";"01";"1";112;163;0;3;0;0;0
"201212";"02020202";"02";"02";"02";"02";"1";1566;2725;1200;159;0;0;0
"201212";"02020203";"02";"02";"02";"03";"1";2769;6946;320;0;0;0;134
"201212";"02020204";"02";"02";"02";"04";"1";5739;4672;1165;318;0;0;0
"201212";"02020205";"02";"02";"02";"05";"1";2158;2590;9991;88;0;0;0
"201212";"02020206";"02";"02";"02";"06";"1";6305;5909;6153;120;0;0;261
"201212";"02030301";"02";"03";"03";"01";"1";4864;4065;338;28;0;0;0
"201212";"02030302";"02";"03";"03";"02";"1";10095;3127;0;0;0;0;0
"201212";"02030401";"02";"03";"04";"01";"1";12016;2678;194;45;0;0;0
"201212";"02030402";"02";"03";"04";"02";"1";9040;2272;0;0;0;0;0
"201212";"02040501";"02";"04";"05";"01";"1";0;0;2559;2765;0;0;0
"201212";"02040502";"02";"04";"05";"02";"1";0;0;2391;4443;0;0;0
"201212";"02040503";"02";"04";"05";"03";"1";6307;1638;1231;1095;0;0;0
"201212";"02040701";"02";"04";"07";"01";"1";0;0;4694;7542;0;0;0
"201212";"02040702";"02";"04";"07";"02";"1";1773;1458;4171;3031;0;0;0
"201212";"02040703";"02";"04";"07";"03";"1";0;0;172;419;0;0;0
"201212";"02050601";"02";"05";"06";"01";"1";5043;3537;0;0;0;0;0
"201212";"02050602";"02";"05";"06";"02";"1";10768;4067;2651;1222;0;0;10
"201212";"02050801";"02";"05";"08";"01";"1";6102;3958;3983;4184;0;0;0
"201212";"02050802";"02";"05";"08";"02";"1";5739;8535;3154;1715;0;0;9
"201212";"02050803";"02";"05";"08";"03";"1";3360;3052;0;0;0;0;0
"201212";"02050804";"02";"05";"08";"04";"1";0;0;2120;0;841;0;166
"201212";"03010101";"03";"01";"01";"01";"2";241;358;1800;470;0;0;0
"201212";"03010102";"03";"01";"01";"02";"2";5398;2068;1649;980;0;0;0
"201212";"03010104";"03";"01";"01";"04";"2";0;193;0;0;0;0;0
"201212";"03020203";"03";"02";"02";"03";"2";1258;133;0;0;0;0;567
"201212";"03020209";"03";"02";"02";"09";"2";2074;729;78;0;6984;3452;266
"201212";"03020210";"03";"02";"02";"10";"2";1721;547;1442;232;4651;1526;15
"201212";"03020307";"03";"02";"03";"07";"2";6282;2455;6411;1426;0;0;301
"201212";"03030405";"03";"03";"04";"05";"2";4075;0;5095;1388;0;0;0
"201212";"03030406";"03";"03";"04";"06";"2";549;3;4814;2678;0;0;6
"201212";"03030711";"03";"03";"07";"11";"2";3174;2662;0;0;0;0;691
"201212";"03030715";"03";"03";"07";"15";"2";21;93;4909;1487;0;0;6
"201212";"03030716";"03";"03";"07";"16";"2";3;3;1074;35;0;0;18
"201212";"03040508";"03";"04";"05";"08";"2";3;0;0;0;3558;825;34
"201212";"03040512";"03";"04";"05";"12";"2";0;3;321;0;7018;2014;42
"201212";"03040513";"03";"04";"05";"13";"2";655;286;843;503;742;266;0
"201212";"03040614";"03";"04";"06";"14";"2";603;1814;18439;9305;2160;465;110
"201212";"03040818";"03";"04";"08";"18";"2";7727;2363;17900;4158;0;0;15
"201212";"03050919";"03";"05";"09";"19";"2";0;0;4379;444;13;3;0
"201212";"03050920";"03";"05";"09";"20";"2";0;0;2335;1611;2145;397;12
