ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;WLEINFoL;WLEINFmL;WLMIToL;WLMITmL;WLGUToL;WLGUTmL;WLNZORD
201412;1011101;1;1;11;1;1;0;0;0;3;2178;933;0
201412;1011102;1;1;11;2;1;10;50;0;0;24;95;15
201412;1011103;1;1;11;3;1;296;444;2375;1646;314;55;0
201412;1011104;1;1;11;4;1;1670;814;1505;387;0;0;27
201412;1011105;1;1;11;5;1;0;0;41;0;919;137;0
201412;1011201;1;1;12;1;1;0;0;109;331;969;646;0
201412;1011202;1;1;12;2;1;0;0;77;110;198;113;0
201412;1011203;1;1;12;3;1;0;0;0;0;470;462;0
201412;1011204;1;1;12;4;1;0;0;1354;3490;1281;222;77
201412;1011301;1;1;13;1;1;2346;975;201;319;864;837;55
201412;1011302;1;1;13;2;1;1755;2194;5093;1740;606;749;0
201412;1011303;1;1;13;3;1;480;1080;2138;1989;884;2018;19
201412;1011304;1;1;13;4;1;0;0;3709;4715;0;0;0
201412;1011305;1;1;13;5;1;0;84;3364;3477;0;0;150
201412;1011306;1;1;13;6;1;1054;964;4863;1628;0;0;107
201412;1011401;1;1;14;1;1;4597;4947;5390;270;0;0;31
201412;1011402;1;1;14;2;1;2925;2296;6429;1000;0;0;16
201412;1022101;1;2;21;1;1;1046;2344;0;0;0;0;0
201412;1022102;1;2;21;2;1;3501;2754;0;0;0;0;0
201412;1022103;1;2;21;3;1;12;238;0;3;0;0;0
201412;1022104;1;2;21;4;1;13464;4342;0;0;0;0;0
201412;1022105;1;2;21;5;1;1808;3297;0;0;0;0;0
201412;1022106;1;2;21;6;1;114;451;4999;2089;3795;283;0
201412;1022201;1;2;22;1;1;7407;3062;0;0;0;0;0
201412;1022202;1;2;22;2;1;1044;404;0;0;0;0;0
201412;1022203;1;2;22;3;1;2067;851;2704;1151;0;0;0
201412;1022204;1;2;22;4;1;0;456;3583;1775;6;6;0
201412;1022205;1;2;22;5;1;2318;889;0;0;0;0;0
201412;1022206;1;2;22;6;1;0;0;1040;2020;0;0;0
201412;1022207;1;2;22;7;1;0;0;1094;721;1349;2313;0
201412;1033101;1;3;31;1;1;19086;6861;0;0;0;0;0
201412;1033102;1;3;31;2;1;7958;3628;0;0;0;0;0
201412;1033201;1;3;32;1;1;9664;3221;0;0;0;0;0
201412;1033202;1;3;32;2;1;7400;2297;0;0;0;0;0
201412;1033203;1;3;32;3;1;8086;5805;0;0;0;0;0
201412;1044101;1;4;41;1;1;12355;7460;66;22;0;0;0
201412;1044102;1;4;41;2;1;5482;5153;3920;1237;0;0;0
201412;1044103;1;4;41;3;1;5857;2219;0;0;0;0;0
201412;1044201;1;4;42;1;1;12697;10403;0;0;0;0;3
201412;1044202;1;4;42;2;1;14620;1737;279;0;0;0;0
201412;1044203;1;4;42;3;1;12022;3963;0;0;0;0;0
201412;2010101;2;1;1;1;1;2481;2001;1368;256;0;0;0
201412;2010102;2;1;1;2;1;2968;2054;5474;2551;0;0;0
201412;2010103;2;1;1;3;1;11065;4277;247;0;0;0;0
201412;2010104;2;1;1;4;1;2798;1749;598;0;0;0;0
201412;2020201;2;2;2;1;1;143;141;0;0;0;0;0
201412;2020202;2;2;2;2;1;1575;2749;1210;192;0;0;0
201412;2020203;2;2;2;3;1;2943;6939;692;0;0;0;94
201412;2020204;2;2;2;4;1;5896;4761;1183;355;0;0;0
201412;2020205;2;2;2;5;1;2243;2628;9936;30;0;0;0
201412;2020206;2;2;2;6;1;6753;5651;6413;111;0;0;0
201412;2030301;2;3;3;1;1;4943;3912;275;70;0;0;16
201412;2030302;2;3;3;2;1;10190;3092;0;0;0;0;0
201412;2030401;2;3;4;1;1;12218;2813;143;48;0;0;0
201412;2030402;2;3;4;2;1;8996;2277;0;0;0;0;0
201412;2040501;2;4;5;1;1;0;0;2344;3066;0;0;0
201412;2040502;2;4;5;2;1;0;0;2695;4423;0;0;0
201412;2040503;2;4;5;3;1;4863;1429;3422;966;0;0;0
201412;2040701;2;4;7;1;1;0;0;5581;6685;0;0;0
201412;2040702;2;4;7;2;1;2040;1216;4456;2907;0;0;58
201412;2040703;2;4;7;3;1;0;0;215;590;0;0;50
201412;2050601;2;5;6;1;1;5301;3451;0;0;0;0;0
201412;2050602;2;5;6;2;1;8244;3473;6072;1821;0;0;21
201412;2050801;2;5;8;1;1;6495;3819;4492;3973;0;0;32
201412;2050802;2;5;8;2;1;6780;8006;3260;1795;0;0;0
201412;2050803;2;5;8;3;1;3848;2784;0;0;0;0;0
201412;2050804;2;5;8;4;1;0;0;2549;0;911;0;40
201412;3010101;3;1;1;1;2;279;375;2180;312;0;0;151
201412;3010102;3;1;1;2;2;6998;1299;2147;751;0;0;12
201412;3010104;3;1;1;4;2;6;201;0;0;0;0;6
201412;3020203;3;2;2;3;2;1902;158;0;0;0;0;9
201412;3020209;3;2;2;9;2;2161;659;93;0;7338;3435;345
201412;3020210;3;2;2;10;2;1826;585;1542;196;4745;1387;148
201412;3020307;3;2;3;7;2;6934;2095;6209;1693;0;0;287
201412;3030405;3;3;4;5;2;1036;0;8822;718;0;0;0
201412;3030406;3;3;4;6;2;519;0;4912;2658;0;0;68
201412;3030711;3;3;7;11;2;4037;2675;0;0;0;0;33
201412;3030715;3;3;7;15;2;30;104;5006;1338;0;0;105
201412;3030716;3;3;7;16;2;6;0;1083;29;0;0;10
201412;3040508;3;4;5;8;2;24;0;0;0;3787;755;21
201412;3040512;3;4;5;12;2;4;0;358;0;7230;1910;18
201412;3040513;3;4;5;13;2;610;239;229;59;1370;840;10
201412;3040614;3;4;6;14;2;923;1525;20212;8754;2278;435;106
201412;3040818;3;4;8;18;2;6944;2607;19997;4136;0;0;30
201412;3050919;3;5;9;19;2;0;0;4788;522;10;0;0
201412;3050920;3;5;9;20;2;0;0;2694;1703;2203;409;15
201412;3050923;3;5;9;23;2;3113;1349;2131;2179;0;0;0
